Drug	CLL	DLBCL	FL	HCL	HL	LPL	MCL	MF	MM	MZL	PTCL	SD
ACALABRUTINIB	1	1	0	0	0	0	1	0	0	0	0	0
ALDESLEUKIN	0	1	1	0	0	0	0	0	0	0	0	0
ALEMTUZUMAB	1	0	0	0	0	0	0	0	0	0	1	0
ALISERTIB	0	0	0	0	0	0	0	0	0	0	1	0
APREPITANT	0	0	0	0	0	0	0	0	1	0	0	0
ASPIRIN	0	0	0	0	0	0	0	0	1	0	0	0
AVELUMAB	0	1	0	0	0	0	0	0	0	0	0	0
AXICABTAGENE CILOLEUCEL	0	1	1	0	0	0	0	0	0	0	0	0
AZACITIDINE	0	1	0	0	0	0	0	0	0	0	0	0
BELANTAMAB MAFODOTIN	0	0	0	0	0	0	0	0	1	0	0	0
BELINOSTAT	0	0	0	0	0	0	0	0	0	0	1	0
BEXAROTENE	0	0	0	0	0	0	0	1	0	0	0	0
BKT140	0	0	0	0	0	0	0	0	1	0	0	0
BORTEZOMIB	0	1	0	0	0	1	1	0	1	0	0	0
BRENTUXIMAB VEDOTIN	0	1	0	0	1	0	0	1	0	0	0	0
CAMRELIZUMAB	0	0	0	0	1	0	0	0	0	0	0	0
CARFILZOMIB	0	0	0	0	0	1	0	0	1	0	0	0
CARMUSTINE	0	1	0	0	1	0	1	0	1	0	0	0
CARVEDILOL	0	0	0	0	0	0	0	0	1	0	0	0
CHOLECALCIFEROL	1	0	0	0	0	0	0	0	0	0	0	0
COPANLISIB	0	0	1	0	0	0	0	0	0	0	0	0
COPANLISIB HYDROCHLORIDE	0	0	1	0	0	0	0	0	0	0	0	0
CRIZOTINIB	0	1	0	0	0	0	0	0	0	0	0	0
CYCLOSPORINE	0	1	0	0	1	1	1	0	1	0	0	0
CYTARABINE	0	1	0	0	1	0	1	0	1	0	0	0
DARATUMUMAB	0	0	0	0	0	0	0	0	1	0	0	0
DARBEPOETIN ALFA	1	1	0	0	0	0	0	0	0	0	0	0
DECITABINE	0	1	0	0	0	0	0	0	0	0	1	0
DENILEUKIN DIFTITOX	0	0	0	0	0	0	0	1	0	0	1	1
DEXAMETHASONE	0	1	1	0	1	1	1	1	1	0	1	0
DEXAMETHASONE ACETATE	0	0	0	0	0	0	0	0	1	0	0	0
DEXAMETHASONE PHOSPHORIC ACID	0	0	0	0	0	0	0	1	0	0	0	0
DEXAMETHASONE SODIUM PHOSPHATE	0	0	0	0	0	0	0	1	0	0	0	0
DINACICLIB	1	0	0	0	0	0	0	0	0	0	0	0
DOXORUBICIN	1	1	1	0	1	1	1	0	1	0	1	0
DOXORUBICIN HYDROCHLORIDE	0	1	0	0	1	0	0	0	1	0	0	0
DUVELISIB	1	0	1	0	0	0	0	0	0	0	0	0
ELOTUZUMAB	0	0	0	0	0	0	0	0	1	0	0	0
ELRANATAMAB	0	0	0	0	0	0	0	0	1	0	0	0
ENALAPRIL	0	0	0	0	0	0	0	0	1	0	0	0
ENZASTAURIN	0	1	0	0	0	0	0	0	0	0	0	0
EPCORITAMAB	0	1	0	0	0	0	0	0	0	0	0	0
EPOETIN BETA	0	1	0	0	0	0	0	0	0	0	0	0
ETOPOSIDE	0	1	1	0	1	0	1	0	1	0	1	0
ETOPOSIDE PHOSPHATE	0	1	0	0	1	0	0	0	0	0	0	0
EVEROLIMUS	0	1	0	0	0	0	0	0	0	0	0	0
FELZARTAMAB	0	0	0	0	0	0	0	0	1	0	0	0
FILGRASTIM	1	1	1	0	1	0	1	0	1	0	0	0
FLUDARABINE PHOSPHATE	1	1	1	0	1	1	1	0	1	0	0	0
GEMCITABINE	0	1	1	0	0	0	0	0	0	0	1	0
GLOFITAMAB	0	1	0	0	0	0	0	0	0	0	0	0
IBANDRONIC ACID	0	0	0	0	0	0	0	0	1	0	0	0
IBERDOMIDE	0	0	0	0	0	0	0	0	1	0	0	0
IBRITUMOMAB TIUXETAN	0	1	1	0	0	0	0	0	0	0	0	0
IBRUTINIB	1	1	1	0	0	1	1	0	0	0	0	0
IDARUBICIN	0	0	0	0	0	0	0	0	1	0	0	0
IDECABTAGENE VICLEUCEL	0	0	0	0	0	0	0	0	1	0	0	0
IDELALISIB	1	0	1	0	0	0	0	0	0	0	0	0
INOTUZUMAB OZOGAMICIN	0	0	1	0	0	0	0	0	0	0	0	0
INTERFERON ALFA-2B	0	0	1	1	0	0	0	1	1	0	0	0
ISATUXIMAB	0	0	0	0	0	0	0	0	1	0	0	0
IXAZOMIB	0	0	0	0	0	0	0	0	1	0	0	0
IXAZOMIB CITRATE	0	0	0	0	0	0	0	0	1	0	0	0
LENALIDOMIDE	1	1	1	0	0	0	1	0	1	0	1	0
LENOGRASTIM	0	1	0	0	0	0	0	0	1	0	0	0
LONCASTUXIMAB TESIRINE	0	1	0	0	0	0	0	0	0	0	0	0
MASITINIB	0	0	0	0	0	0	0	0	1	0	0	0
METHOTREXATE	0	1	0	0	1	0	0	1	0	0	0	0
METHYLPREDNISOLONE	0	0	1	0	1	0	0	0	1	0	0	0
MITOXANTRONE	1	1	1	0	0	0	0	0	0	0	1	0
MITOXANTRONE HYDROCHLORIDE	1	1	1	0	0	0	0	0	0	0	0	0
MOGAMULIZUMAB	0	0	0	0	0	0	0	1	0	0	0	1
MOSUNETUZUMAB	0	0	1	0	0	0	0	0	0	0	0	0
MOXETUMOMAB PASUDOTOX	0	0	0	1	0	0	0	0	0	0	0	0
MYCOPHENOLATE MOFETIL	0	1	0	0	1	1	1	0	1	0	0	0
NALOXONE	0	0	0	0	0	0	0	1	0	0	0	1
NIVOLUMAB	0	0	0	0	1	0	0	0	1	0	0	0
OBINUTUZUMAB	1	1	1	0	0	0	0	0	0	0	0	0
OBLIMERSEN SODIUM	0	0	0	0	0	0	0	0	1	0	0	0
OFATUMUMAB	1	1	1	0	0	0	0	0	0	0	0	0
ORELABRUTINIB	1	1	0	0	0	0	1	0	0	0	0	0
PALIFERMIN	0	0	0	0	0	0	0	0	1	0	0	0
PAMIDRONATE DISODIUM	0	0	0	0	0	0	0	0	1	0	0	0
PAMIDRONIC ACID	0	0	0	0	0	0	0	0	1	0	0	0
PANOBINOSTAT	0	0	0	0	1	0	0	0	1	0	0	0
PANOBINOSTAT LACTATE	0	0	0	0	0	0	0	0	1	0	0	0
PARSACLISIB	0	0	1	0	0	0	1	0	0	0	0	0
PEGFILGRASTIM	0	1	0	0	1	0	0	0	1	0	0	0
PEGINTERFERON ALFA-2B	0	0	0	0	0	0	1	0	1	0	0	0
PEMBROLIZUMAB	0	0	0	0	1	0	0	0	1	0	0	0
PENPULIMAB	0	0	0	0	1	0	0	0	0	0	0	0
PENTOSTATIN	1	0	0	1	0	0	0	0	0	0	0	0
PIRTOBRUTINIB	1	0	0	0	0	0	1	0	0	0	0	0
PLERIXAFOR	0	0	0	0	0	0	0	0	1	0	0	0
PLITIDEPSIN	0	0	0	0	0	0	0	0	1	0	0	0
POLATUZUMAB VEDOTIN	0	1	0	0	0	0	0	0	0	0	0	0
POMALIDOMIDE	0	0	0	0	0	0	0	0	1	0	0	0
PRALATREXATE	0	0	0	0	0	0	0	0	0	0	1	0
PREDNISOLONE	0	1	1	0	0	0	0	1	1	0	0	0
PREDNISONE	1	1	1	0	1	1	1	1	1	0	1	0
RITUXIMAB	1	1	1	0	1	1	1	0	0	1	0	0
RIVOCERANIB	0	1	0	0	0	0	0	0	0	0	1	0
RIVOCERANIB MESYLATE	0	1	0	0	0	0	0	0	0	0	1	0
ROMIDEPSIN	0	0	0	0	0	0	0	0	0	1	0	0
SARGRAMOSTIM	0	0	0	0	0	0	0	0	1	0	0	0
SELINEXOR	0	1	0	0	0	0	0	0	1	0	0	0
SILTUXIMAB	0	0	0	0	0	0	0	0	1	0	0	0
SINTILIMAB	0	0	0	0	1	0	0	0	0	0	0	0
SIROLIMUS	0	0	0	0	1	0	0	0	0	0	0	0
TACROLIMUS	0	0	0	0	1	0	0	0	0	0	0	0
TAFASITAMAB	0	1	1	0	0	0	0	0	0	0	0	0
TANESPIMYCIN	0	0	0	0	0	0	0	0	1	0	0	0
TAZEMETOSTAT	0	0	1	0	0	0	0	0	0	0	0	0
TAZEMETOSTAT HYDROBROMIDE	0	0	1	0	0	0	0	0	0	0	0	0
TECLISTAMAB	0	0	0	0	0	0	0	0	1	0	0	0
TEMSIROLIMUS	0	0	0	0	0	0	1	0	0	0	0	0
THALIDOMIDE	0	1	0	0	0	1	1	0	1	0	0	0
TISLELIZUMAB	0	1	0	0	1	0	0	0	0	0	0	0
TOCILIZUMAB	0	1	0	0	0	0	0	0	0	0	0	0
TOSITUMOMAB 131I	0	0	1	0	0	0	0	0	0	0	0	0
UBLITUXIMAB	1	0	0	0	0	0	0	0	0	0	0	0
UMBRALISIB	1	0	1	0	0	0	0	0	0	1	0	0
UMBRALISIB TOSYLATE	1	0	1	0	0	0	0	0	0	1	0	0
UTOMILUMAB	0	1	0	0	0	0	0	0	0	0	0	0
VENETOCLAX	1	0	0	0	0	0	1	0	1	0	0	0
VINBLASTINE	0	1	0	0	1	0	0	0	0	0	1	0
VINBLASTINE SULFATE	0	0	0	0	1	0	0	0	0	0	0	0
VINCRISTINE	1	1	1	0	1	1	1	0	1	0	1	0
VINCRISTINE SULFATE	1	1	1	0	1	0	1	0	0	1	1	0
VINORELBINE	0	0	0	0	1	0	0	0	0	0	0	0
VINORELBINE TARTRATE	0	0	0	0	1	0	0	0	0	0	0	0
VORINOSTAT	0	0	0	0	0	0	0	0	1	0	0	0
YTTRIUM Y 90 IBRITUMOMAB TIUXETAN	0	1	1	0	0	0	0	0	0	0	0	0
ZANDELISIB	0	0	1	0	0	0	0	0	0	0	0	0
ZANOLIMUMAB	0	0	0	0	0	0	0	1	0	0	0	1
ZANUBRUTINIB	1	1	0	0	0	1	1	0	0	0	0	0
ZOLEDRONIC ACID	0	0	0	0	0	0	0	0	1	0	0	0
